1 1:2 2:50 3:12500 4:98
-1 1:21 2:1 3:250 4:21
-1 1:25 2:6 3:1500 4:50
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:23 2:3 3:750 4:39
-1 1:21 2:2 3:500 4:33
-1 1:14 2:3 3:750 4:79
1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:4 3:1000 4:52
-1 1:23 2:1 3:250 4:23
-1 1:23 2:7 3:1750 4:88
-1 1:16 2:3 3:750 4:86
-1 1:23 2:2 3:500 4:38
-1 1:21 2:2 3:500 4:52
-1 1:23 2:3 3:750 4:62
-1 1:39 2:1 3:250 4:39
-1 1:72 2:1 3:250 4:72
